"No.","Time","Source","Destination","Protocol","Length","Info"
"978484","6181.024455","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 62%"
"979003","6183.561976","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 69%"
"979004","6183.562121","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"979023","6183.655795","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 69%"
"979052","6183.858256","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 75%"
"979072","6184.062964","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"979091","6184.238244","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 81%"
"979098","6184.282019","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 88%"
"979126","6184.487971","cyber-bl_da:71:15 (Ubuntu)","TCLTechn_b2:54:9d (Anker PowerConf)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"979149","6184.688251","TCLTechn_b2:54:9d (Anker PowerConf)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 100%"
