"No.","Time","Source","Destination","Protocol","Length","Info"
"940431","5871.803973","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Pushed)"
"940432","5871.804303","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Pushed)"
"940444","5871.891447","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","17","Rcvd Pass Through: Control - FORWARD (Released)"
"940445","5871.891638","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","17","Sent Pass Through: Accepted - FORWARD (Released)"
"940476","5872.091355","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 25%"
"940477","5872.091646","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"940491","5872.183828","GNAudio_74:9c:fe (Jabra Elite Active)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 25%"
"941405","5878.018882","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 19%"
"941406","5878.019204","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"941413","5878.069987","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 19%"
"941437","5878.231212","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 12%"
"941438","5878.231551","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"941444","5878.248862","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 12%"
"941820","5880.623961","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Changed - RegisterNotification - VolumeChanged - Volume: 19%"
"941821","5880.624301","cyber-bl_da:71:15 (Ubuntu)","GNAudio_74:9c:fe (Jabra Elite Active 65t)","AVRCP","27","Sent Vendor dependent: Notify - RegisterNotification - VolumeChanged"
"941831","5880.666411","GNAudio_74:9c:fe (Jabra Elite Active 65t)","cyber-bl_da:71:15 (Ubuntu)","AVRCP","24","Rcvd Vendor dependent: Interim - RegisterNotification - VolumeChanged - Volume: 19%"
